src,atom_id1,tgt,atom_id2,weight,x,y,z,isMasked
0,0Nb,1,10Nb,0.460082,0.1662,-0.3338,0.2695,1
0,0Nb,2,11Nb,0.460082,0.3338,0.1662,0.2695,1
0,0Nb,3,12Ni,0.460082,-0.1662,0.3338,0.2695,1
0,0Nb,4,13Nb,0.460082,-0.3338,-0.1662,0.2695,1
0,0Nb,5,18Nb,0.460082,0.1662,-0.3338,-0.2695,1
0,0Nb,6,19Nb,0.460082,0.3338,0.1662,-0.2695,1
0,0Nb,7,20Nb,0.460082,-0.1662,0.3338,-0.2695,1
0,0Nb,8,21Nb,0.460082,-0.3338,-0.1662,-0.2695,1
0,0Nb,9,39Si,0.4522,0.0,0.0,0.4522,1
0,0Nb,10,40Si,0.392787,0.371,-0.129,0.0,1
0,0Nb,11,41Si,0.392787,0.129,0.371,0.0,1
0,0Nb,12,42Si,0.392787,-0.371,0.129,0.0,1
0,0Nb,13,43Si,0.392787,-0.129,-0.371,0.0,1
0,0Nb,14,48Si,0.4523,0.0,0.0,-0.4523,1
1,10Nb,0,0Nb,0.460082,-0.1662,0.3338,-0.2695,0
1,10Nb,2,11Nb,0.527342,0.1676,0.5,0.0,0
1,10Nb,3,12Ni,0.745774,-0.3324,0.6676,0.0,0
1,10Nb,4,13Nb,0.527342,-0.5,0.1676,0.0,0
1,10Nb,5,18Nb,0.539,0.0,0.0,-0.539,0
1,10Nb,6,19Nb,0.754063,0.1676,0.5,-0.539,0
1,10Nb,7,20Nb,0.920163,-0.3324,0.6676,-0.539,0
1,10Nb,8,21Nb,0.754063,-0.5,0.1676,-0.539,0
1,10Nb,9,39Si,0.41524,-0.1662,0.3338,0.1827,0
1,10Nb,10,40Si,0.395621,0.2048,0.2048,-0.2695,0
1,10Nb,11,41Si,0.755485,-0.0372,0.7048,-0.2695,0
1,10Nb,12,42Si,0.75855,-0.5372,0.4628,-0.2695,0
1,10Nb,13,43Si,0.401444,-0.2952,-0.0372,-0.2695,0
1,10Nb,14,48Si,0.812429,-0.1662,0.3338,-0.7218,0
2,11Nb,0,0Nb,0.460082,-0.3338,-0.1662,-0.2695,0
2,11Nb,1,10Nb,0.527342,-0.1676,-0.5,0.0,0
2,11Nb,3,12Ni,0.527342,-0.5,0.1676,0.0,0
2,11Nb,4,13Nb,0.745774,-0.6676,-0.3324,0.0,0
2,11Nb,5,18Nb,0.754063,-0.1676,-0.5,-0.539,0
2,11Nb,6,19Nb,0.539,0.0,0.0,-0.539,0
2,11Nb,7,20Nb,0.754063,-0.5,0.1676,-0.539,0
2,11Nb,8,21Nb,0.920163,-0.6676,-0.3324,-0.539,0
2,11Nb,9,39Si,0.41524,-0.3338,-0.1662,0.1827,0
2,11Nb,10,40Si,0.401444,0.0372,-0.2952,-0.2695,0
2,11Nb,11,41Si,0.395621,-0.2048,0.2048,-0.2695,0
2,11Nb,12,42Si,0.755485,-0.7048,-0.0372,-0.2695,0
2,11Nb,13,43Si,0.75855,-0.4628,-0.5372,-0.2695,0
2,11Nb,14,48Si,0.812429,-0.3338,-0.1662,-0.7218,0
3,12Ni,0,0Nb,0.460082,0.1662,-0.3338,-0.2695,1
3,12Ni,1,10Nb,0.745774,0.3324,-0.6676,0.0,1
3,12Ni,2,11Nb,0.527342,0.5,-0.1676,0.0,1
3,12Ni,4,13Nb,0.527342,-0.1676,-0.5,0.0,1
3,12Ni,5,18Nb,0.920163,0.3324,-0.6676,-0.539,1
3,12Ni,6,19Nb,0.754063,0.5,-0.1676,-0.539,1
3,12Ni,7,20Nb,0.539,0.0,0.0,-0.539,1
3,12Ni,8,21Nb,0.754063,-0.1676,-0.5,-0.539,1
