src,atom_id1,tgt,atom_id2,weight,x,y,z,isMasked
0,21Cr,1,0Nb,0.460082,0.3338,0.1662,0.2695,1
0,21Cr,2,13Nb,0.539,0.0,0.0,0.539,1
0,21Cr,3,17Nb,0.460082,-0.1662,-0.3338,0.2695,1
0,21Cr,4,18Nb,0.527342,0.5,-0.1676,0.0,1
0,21Cr,5,20Nb,0.527342,0.1676,0.5,0.0,1
0,21Cr,6,24Nb,0.494045,0.0,0.3324,-0.3655,1
0,21Cr,7,25Co,0.435626,0.1676,-0.1676,-0.3655,1
0,21Cr,8,42Si,0.401444,-0.0372,0.2952,0.2695,1
0,21Cr,9,43Si,0.395621,0.2048,-0.2048,0.2695,1
0,21Cr,10,47Si,0.415284,-0.1662,-0.3338,-0.1828,1
0,21Cr,11,48Si,0.415284,0.3338,0.1662,-0.1828,1
0,21Cr,12,18Nb,0.527342,-0.5,-0.1676,0.0,1
0,21Cr,13,22Nb,0.494045,-0.3324,0.0,-0.3655,1
0,21Cr,14,19Nb,0.470085,-0.3324,0.3324,0.0,1
0,21Cr,15,40Si,0.401444,-0.2952,0.0372,0.2695,1
0,21Cr,16,20Nb,0.527342,0.1676,-0.5,0.0,1
1,0Nb,0,21Cr,0.460082,-0.3338,-0.1662,-0.2695,0
1,0Nb,2,13Nb,0.460082,-0.3338,-0.1662,0.2695,0
1,0Nb,3,17Nb,0.707107,-0.5,-0.5,0.0,0
1,0Nb,4,18Nb,0.460082,0.1662,-0.3338,-0.2695,0
1,0Nb,5,20Nb,0.460082,-0.1662,0.3338,-0.2695,0
1,0Nb,6,24Nb,0.73639,-0.3338,0.1662,-0.635,0
1,0Nb,7,25Co,0.73639,-0.1662,-0.3338,-0.635,0
1,0Nb,8,42Si,0.392787,-0.371,0.129,0.0,0
1,0Nb,9,43Si,0.392787,-0.129,-0.371,0.0,0
1,0Nb,10,47Si,0.83939,-0.5,-0.5,-0.4523,0
1,0Nb,11,48Si,0.4523,0.0,0.0,-0.4523,0
1,0Nb,12,18Nb,0.937697,-0.8338,-0.3338,-0.2695,0
1,0Nb,13,22Nb,0.935238,-0.6662,-0.1662,-0.635,0
1,0Nb,14,19Nb,0.737614,-0.6662,0.1662,-0.2695,0
1,0Nb,15,40Si,0.642092,-0.629,-0.129,0.0,0
1,0Nb,16,20Nb,0.737614,-0.1662,-0.6662,-0.2695,0
2,13Nb,0,21Cr,0.539,0.0,0.0,-0.539,0
2,13Nb,1,0Nb,0.460082,0.3338,0.1662,-0.2695,0
