src,atom_id1,tgt,atom_id2,weight,x,y,z,isMasked
0,48B,1,0Cr,0.45225,0.0,0.0,0.4522,1
0,48B,2,18Nb,0.415262,0.1662,-0.3338,0.1828,1
0,48B,3,19Nb,0.415262,0.3338,0.1662,0.1828,1
0,48B,4,20Nb,0.415262,-0.1662,0.3338,0.1828,1
0,48B,5,21Nb,0.415262,-0.3338,-0.1662,0.1828,1
0,48B,6,22Nb,0.415262,0.3338,-0.1662,-0.1827,1
0,48B,7,23Nb,0.415262,0.1662,0.3338,-0.1827,1
0,48B,8,24Nb,0.415262,-0.3338,0.1662,-0.1827,1
0,48B,9,25Nb,0.415262,-0.1662,-0.3338,-0.1827,1
0,48B,10,30Nb,0.45225,0.0,0.0,-0.4522,1
1,0Cr,0,48B,0.45225,0.0,0.0,-0.4522,1
1,0Cr,2,18Nb,0.460082,0.1662,-0.3338,-0.2695,1
1,0Cr,3,19Nb,0.460082,0.3338,0.1662,-0.2695,1
1,0Cr,4,20Nb,0.460082,-0.1662,0.3338,-0.2695,1
1,0Cr,5,21Nb,0.460082,-0.3338,-0.1662,-0.2695,1
1,0Cr,6,22Nb,0.73639,0.3338,-0.1662,-0.635,1
1,0Cr,7,23Nb,0.73639,0.1662,0.3338,-0.635,1
1,0Cr,8,24Nb,0.73639,-0.3338,0.1662,-0.635,1
1,0Cr,9,25Nb,0.73639,-0.1662,-0.3338,-0.635,1
1,0Cr,10,30Nb,0.9045,0.0,0.0,-0.9045,1
2,18Nb,0,48B,0.415262,-0.1662,0.3338,-0.1828,0
2,18Nb,1,0Cr,0.460082,-0.1662,0.3338,0.2695,0
2,18Nb,3,19Nb,0.527342,0.1676,0.5,0.0,0
2,18Nb,4,20Nb,0.745774,-0.3324,0.6676,0.0,0
2,18Nb,5,21Nb,0.527342,-0.5,0.1676,0.0,0
2,18Nb,6,22Nb,0.435626,0.1676,0.1676,-0.3655,0
2,18Nb,7,23Nb,0.761104,0.0,0.6676,-0.3655,0
2,18Nb,8,24Nb,0.795984,-0.5,0.5,-0.3655,0
2,18Nb,9,25Nb,0.494045,-0.3324,0.0,-0.3655,0
2,18Nb,10,30Nb,0.73639,-0.1662,0.3338,-0.635,0
3,19Nb,0,48B,0.415262,-0.3338,-0.1662,-0.1828,0
3,19Nb,1,0Cr,0.460082,-0.3338,-0.1662,0.2695,0
3,19Nb,2,18Nb,0.527342,-0.1676,-0.5,0.0,0
3,19Nb,4,20Nb,0.527342,-0.5,0.1676,0.0,0
3,19Nb,5,21Nb,0.745774,-0.6676,-0.3324,0.0,0
3,19Nb,6,22Nb,0.494045,0.0,-0.3324,-0.3655,0
3,19Nb,7,23Nb,0.435626,-0.1676,0.1676,-0.3655,0
3,19Nb,8,24Nb,0.761104,-0.6676,0.0,-0.3655,0
3,19Nb,9,25Nb,0.795984,-0.5,-0.5,-0.3655,0
3,19Nb,10,30Nb,0.73639,-0.3338,-0.1662,-0.635,0
4,20Nb,0,48B,0.415262,0.1662,-0.3338,-0.1828,0
4,20Nb,1,0Cr,0.460082,0.1662,-0.3338,0.2695,0
4,20Nb,2,18Nb,0.745774,0.3324,-0.6676,0.0,0
4,20Nb,3,19Nb,0.527342,0.5,-0.1676,0.0,0
4,20Nb,5,21Nb,0.527342,-0.1676,-0.5,0.0,0
4,20Nb,6,22Nb,0.795984,0.5,-0.5,-0.3655,0
4,20Nb,7,23Nb,0.494045,0.3324,0.0,-0.3655,0
4,20Nb,8,24Nb,0.435626,-0.1676,-0.1676,-0.3655,0
4,20Nb,9,25Nb,0.761104,0.0,-0.6676,-0.3655,0
4,20Nb,10,30Nb,0.73639,0.1662,-0.3338,-0.635,0
5,21Nb,0,48B,0.415262,0.3338,0.1662,-0.1828,0
5,21Nb,1,0Cr,0.460082,0.3338,0.1662,0.2695,0
5,21Nb,2,18Nb,0.527342,0.5,-0.1676,0.0,0
5,21Nb,3,19Nb,0.745774,0.6676,0.3324,0.0,0
5,21Nb,4,20Nb,0.527342,0.1676,0.5,0.0,0
5,21Nb,6,22Nb,0.761104,0.6676,0.0,-0.3655,0
5,21Nb,7,23Nb,0.795984,0.5,0.5,-0.3655,0
5,21Nb,8,24Nb,0.494045,0.0,0.3324,-0.3655,0
5,21Nb,9,25Nb,0.435626,0.1676,-0.1676,-0.3655,0
5,21Nb,10,30Nb,0.73639,0.3338,0.1662,-0.635,0
6,22Nb,0,48B,0.415262,-0.3338,0.1662,0.1827,0
6,22Nb,1,0Cr,0.73639,-0.3338,0.1662,0.635,0
6,22Nb,2,18Nb,0.435626,-0.1676,-0.1676,0.3655,0
6,22Nb,3,19Nb,0.494045,0.0,0.3324,0.3655,0
6,22Nb,4,20Nb,0.795984,-0.5,0.5,0.3655,0
6,22Nb,5,21Nb,0.761104,-0.6676,0.0,0.3655,0
6,22Nb,7,23Nb,0.527342,-0.1676,0.5,0.0,0
6,22Nb,8,24Nb,0.745774,-0.6676,0.3324,0.0,0
6,22Nb,9,25Nb,0.527342,-0.5,-0.1676,0.0,0
6,22Nb,10,30Nb,0.460082,-0.3338,0.1662,-0.2695,0
7,23Nb,0,48B,0.415262,-0.1662,-0.3338,0.1827,0
7,23Nb,1,0Cr,0.73639,-0.1662,-0.3338,0.635,0
7,23Nb,2,18Nb,0.761104,0.0,-0.6676,0.3655,0
7,23Nb,3,19Nb,0.435626,0.1676,-0.1676,0.3655,0
7,23Nb,4,20Nb,0.494045,-0.3324,0.0,0.3655,0
7,23Nb,5,21Nb,0.795984,-0.5,-0.5,0.3655,0
7,23Nb,6,22Nb,0.527342,0.1676,-0.5,0.0,0
7,23Nb,8,24Nb,0.527342,-0.5,-0.1676,0.0,0
7,23Nb,9,25Nb,0.745774,-0.3324,-0.6676,0.0,0
7,23Nb,10,30Nb,0.460082,-0.1662,-0.3338,-0.2695,0
8,24Nb,0,48B,0.415262,0.3338,-0.1662,0.1827,0
8,24Nb,1,0Cr,0.73639,0.3338,-0.1662,0.635,0
8,24Nb,2,18Nb,0.795984,0.5,-0.5,0.3655,0
8,24Nb,3,19Nb,0.761104,0.6676,0.0,0.3655,0
8,24Nb,4,20Nb,0.435626,0.1676,0.1676,0.3655,0
8,24Nb,5,21Nb,0.494045,0.0,-0.3324,0.3655,0
8,24Nb,6,22Nb,0.745774,0.6676,-0.3324,0.0,0
8,24Nb,7,23Nb,0.527342,0.5,0.1676,0.0,0
8,24Nb,9,25Nb,0.527342,0.1676,-0.5,0.0,0
8,24Nb,10,30Nb,0.460082,0.3338,-0.1662,-0.2695,0
9,25Nb,0,48B,0.415262,0.1662,0.3338,0.1827,0
9,25Nb,1,0Cr,0.73639,0.1662,0.3338,0.635,0
9,25Nb,2,18Nb,0.494045,0.3324,0.0,0.3655,0
9,25Nb,3,19Nb,0.795984,0.5,0.5,0.3655,0
9,25Nb,4,20Nb,0.761104,0.0,0.6676,0.3655,0
9,25Nb,5,21Nb,0.435626,-0.1676,0.1676,0.3655,0
9,25Nb,6,22Nb,0.527342,0.5,0.1676,0.0,0
9,25Nb,7,23Nb,0.745774,0.3324,0.6676,0.0,0
9,25Nb,8,24Nb,0.527342,-0.1676,0.5,0.0,0
9,25Nb,10,30Nb,0.460082,0.1662,0.3338,-0.2695,0
10,30Nb,0,48B,0.45225,0.0,0.0,0.4522,0
10,30Nb,1,0Cr,0.9045,0.0,0.0,0.9045,0
10,30Nb,2,18Nb,0.73639,0.1662,-0.3338,0.635,0
10,30Nb,3,19Nb,0.73639,0.3338,0.1662,0.635,0
10,30Nb,4,20Nb,0.73639,-0.1662,0.3338,0.635,0
10,30Nb,5,21Nb,0.73639,-0.3338,-0.1662,0.635,0
10,30Nb,6,22Nb,0.460082,0.3338,-0.1662,0.2695,0
10,30Nb,7,23Nb,0.460082,0.1662,0.3338,0.2695,0
10,30Nb,8,24Nb,0.460082,-0.3338,0.1662,0.2695,0
10,30Nb,9,25Nb,0.460082,-0.1662,-0.3338,0.2695,0
