src,atom_id1,tgt,atom_id2,weight,x,y,z,isMasked
0,Mo0,1,Mo15,0.707107,0.0,-0.5,0.5,1
0,Mo0,2,Mo16,0.707107,-0.5,0.0,0.5,1
0,Mo0,3,Mo17,0.707107,0.0,0.5,0.5,1
0,Mo0,4,Mo18,0.707107,0.5,0.0,0.5,1
0,Mo0,5,Mo19,0.707107,-0.5,-0.5,0.0,1
0,Mo0,6,Mo20,0.707107,-0.5,0.5,0.0,1
0,Mo0,7,Mo21,0.707107,0.5,0.5,0.0,1
0,Mo0,8,Mo22,0.707107,0.5,-0.5,0.0,1
0,Mo0,9,Mo23,0.707107,-0.5,0.0,-0.5,1
0,Mo0,10,Mo24,0.707107,0.0,0.5,-0.5,1
0,Mo0,11,B25,0.707107,0.5,0.0,-0.5,1
0,Mo0,12,Mo26,0.707107,0.0,-0.5,-0.5,1
1,Mo15,0,Mo0,0.707107,0.0,0.5,-0.5,0
1,Mo15,2,Mo16,0.707107,-0.5,0.5,0.0,0
1,Mo15,3,Mo17,1.0,0.0,1.0,0.0,0
1,Mo15,4,Mo18,0.707107,0.5,0.5,0.0,0
1,Mo15,5,Mo19,0.707107,-0.5,0.0,-0.5,0
1,Mo15,6,Mo20,1.224745,-0.5,1.0,-0.5,0
1,Mo15,7,Mo21,1.224745,0.5,1.0,-0.5,0
1,Mo15,8,Mo22,0.707107,0.5,0.0,-0.5,0
1,Mo15,9,Mo23,1.224745,-0.5,0.5,-1.0,0
1,Mo15,10,Mo24,1.414214,0.0,1.0,-1.0,0
1,Mo15,11,B25,1.224745,0.5,0.5,-1.0,0
1,Mo15,12,Mo26,1.0,0.0,0.0,-1.0,0
2,Mo16,0,Mo0,0.707107,0.5,0.0,-0.5,0
2,Mo16,1,Mo15,0.707107,0.5,-0.5,0.0,0
2,Mo16,3,Mo17,0.707107,0.5,0.5,0.0,0
2,Mo16,4,Mo18,1.0,1.0,0.0,0.0,0
2,Mo16,5,Mo19,0.707107,0.0,-0.5,-0.5,0
2,Mo16,6,Mo20,0.707107,0.0,0.5,-0.5,0
2,Mo16,7,Mo21,1.224745,1.0,0.5,-0.5,0
2,Mo16,8,Mo22,1.224745,1.0,-0.5,-0.5,0
2,Mo16,9,Mo23,1.0,0.0,0.0,-1.0,0
2,Mo16,10,Mo24,1.224745,0.5,0.5,-1.0,0
