src,atom_id1,tgt,atom_id2,weight,x,y,z,isMasked
0,0Cr,1,1Nb,0.433013,-0.25,-0.25,-0.25,1
0,0Cr,2,2Nb,0.433013,-0.25,0.25,-0.25,1
0,0Cr,3,3Nb,0.433013,0.25,0.25,-0.25,1
0,0Cr,4,4Nb,0.433013,0.25,-0.25,-0.25,1
0,0Cr,5,5Nb,0.433013,-0.25,-0.25,0.25,1
0,0Cr,6,6Nb,0.433013,-0.25,0.25,0.25,1
0,0Cr,7,7Nb,0.433013,0.25,0.25,0.25,1
0,0Cr,8,8Nb,0.433013,0.25,-0.25,0.25,1
0,0Cr,9,9Hf,0.5,0.0,0.0,-0.5,1
0,0Cr,10,10Nb,0.5,0.0,-0.5,0.0,1
0,0Cr,11,11Nb,0.5,-0.5,0.0,0.0,1
0,0Cr,12,12Nb,0.5,0.0,0.5,0.0,1
0,0Cr,13,13Nb,0.5,0.5,0.0,0.0,1
0,0Cr,14,14Nb,0.5,0.0,0.0,0.5,1
1,1Nb,0,0Cr,0.433013,0.25,0.25,0.25,0
1,1Nb,2,2Nb,0.5,0.0,0.5,0.0,0
1,1Nb,3,3Nb,0.707107,0.5,0.5,0.0,0
1,1Nb,4,4Nb,0.5,0.5,0.0,0.0,0
1,1Nb,5,5Nb,0.5,0.0,0.0,0.5,0
1,1Nb,6,6Nb,0.707107,0.0,0.5,0.5,0
1,1Nb,7,7Nb,0.866025,0.5,0.5,0.5,0
1,1Nb,8,8Nb,0.707107,0.5,0.0,0.5,0
1,1Nb,9,9Hf,0.433013,0.25,0.25,-0.25,0
1,1Nb,10,10Nb,0.433013,0.25,-0.25,0.25,0
1,1Nb,11,11Nb,0.433013,-0.25,0.25,0.25,0
1,1Nb,12,12Nb,0.829156,0.25,0.75,0.25,0
1,1Nb,13,13Nb,0.829156,0.75,0.25,0.25,0
1,1Nb,14,14Nb,0.829156,0.25,0.25,0.75,0
2,2Nb,0,0Cr,0.433013,0.25,-0.25,0.25,0
2,2Nb,1,1Nb,0.5,0.0,-0.5,0.0,0
2,2Nb,3,3Nb,0.5,0.5,0.0,0.0,0
2,2Nb,4,4Nb,0.707107,0.5,-0.5,0.0,0
2,2Nb,5,5Nb,0.707107,0.0,-0.5,0.5,0
2,2Nb,6,6Nb,0.5,0.0,0.0,0.5,0
2,2Nb,7,7Nb,0.707107,0.5,0.0,0.5,0
2,2Nb,8,8Nb,0.866025,0.5,-0.5,0.5,0
2,2Nb,9,9Hf,0.433013,0.25,-0.25,-0.25,0
2,2Nb,10,10Nb,0.829156,0.25,-0.75,0.25,0
2,2Nb,11,11Nb,0.433013,-0.25,-0.25,0.25,0
2,2Nb,12,12Nb,0.433013,0.25,0.25,0.25,0
2,2Nb,13,13Nb,0.829156,0.75,-0.25,0.25,0
2,2Nb,14,14Nb,0.829156,0.25,-0.25,0.75,0
3,3Nb,0,0Cr,0.433013,-0.25,-0.25,0.25,0
3,3Nb,1,1Nb,0.707107,-0.5,-0.5,0.0,0
3,3Nb,2,2Nb,0.5,-0.5,0.0,0.0,0
3,3Nb,4,4Nb,0.5,0.0,-0.5,0.0,0
3,3Nb,5,5Nb,0.866025,-0.5,-0.5,0.5,0
3,3Nb,6,6Nb,0.707107,-0.5,0.0,0.5,0
3,3Nb,7,7Nb,0.5,0.0,0.0,0.5,0
3,3Nb,8,8Nb,0.707107,0.0,-0.5,0.5,0
3,3Nb,9,9Hf,0.433013,-0.25,-0.25,-0.25,0
3,3Nb,10,10Nb,0.829156,-0.25,-0.75,0.25,0
3,3Nb,11,11Nb,0.829156,-0.75,-0.25,0.25,0
3,3Nb,12,12Nb,0.433013,-0.25,0.25,0.25,0
3,3Nb,13,13Nb,0.433013,0.25,-0.25,0.25,0
3,3Nb,14,14Nb,0.829156,-0.25,-0.25,0.75,0
4,4Nb,0,0Cr,0.433013,-0.25,0.25,0.25,0
4,4Nb,1,1Nb,0.5,-0.5,0.0,0.0,0
4,4Nb,2,2Nb,0.707107,-0.5,0.5,0.0,0
4,4Nb,3,3Nb,0.5,0.0,0.5,0.0,0
4,4Nb,5,5Nb,0.707107,-0.5,0.0,0.5,0
4,4Nb,6,6Nb,0.866025,-0.5,0.5,0.5,0
4,4Nb,7,7Nb,0.707107,0.0,0.5,0.5,0
4,4Nb,8,8Nb,0.5,0.0,0.0,0.5,0
4,4Nb,9,9Hf,0.433013,-0.25,0.25,-0.25,0
4,4Nb,10,10Nb,0.433013,-0.25,-0.25,0.25,0
4,4Nb,11,11Nb,0.829156,-0.75,0.25,0.25,0
4,4Nb,12,12Nb,0.829156,-0.25,0.75,0.25,0
4,4Nb,13,13Nb,0.433013,0.25,0.25,0.25,0
4,4Nb,14,14Nb,0.829156,-0.25,0.25,0.75,0
5,5Nb,0,0Cr,0.433013,0.25,0.25,-0.25,0
5,5Nb,1,1Nb,0.5,0.0,0.0,-0.5,0
5,5Nb,2,2Nb,0.707107,0.0,0.5,-0.5,0
5,5Nb,3,3Nb,0.866025,0.5,0.5,-0.5,0
5,5Nb,4,4Nb,0.707107,0.5,0.0,-0.5,0
5,5Nb,6,6Nb,0.5,0.0,0.5,0.0,0
5,5Nb,7,7Nb,0.707107,0.5,0.5,0.0,0
5,5Nb,8,8Nb,0.5,0.5,0.0,0.0,0
5,5Nb,9,9Hf,0.829156,0.25,0.25,-0.75,0
5,5Nb,10,10Nb,0.433013,0.25,-0.25,-0.25,0
5,5Nb,11,11Nb,0.433013,-0.25,0.25,-0.25,0
5,5Nb,12,12Nb,0.829156,0.25,0.75,-0.25,0
5,5Nb,13,13Nb,0.829156,0.75,0.25,-0.25,0
5,5Nb,14,14Nb,0.433013,0.25,0.25,0.25,0
6,6Nb,0,0Cr,0.433013,0.25,-0.25,-0.25,0
6,6Nb,1,1Nb,0.707107,0.0,-0.5,-0.5,0
6,6Nb,2,2Nb,0.5,0.0,0.0,-0.5,0
6,6Nb,3,3Nb,0.707107,0.5,0.0,-0.5,0
6,6Nb,4,4Nb,0.866025,0.5,-0.5,-0.5,0
6,6Nb,5,5Nb,0.5,0.0,-0.5,0.0,0
6,6Nb,7,7Nb,0.5,0.5,0.0,0.0,0
6,6Nb,8,8Nb,0.707107,0.5,-0.5,0.0,0
6,6Nb,9,9Hf,0.829156,0.25,-0.25,-0.75,0
6,6Nb,10,10Nb,0.829156,0.25,-0.75,-0.25,0
6,6Nb,11,11Nb,0.433013,-0.25,-0.25,-0.25,0
6,6Nb,12,12Nb,0.433013,0.25,0.25,-0.25,0
6,6Nb,13,13Nb,0.829156,0.75,-0.25,-0.25,0
6,6Nb,14,14Nb,0.433013,0.25,-0.25,0.25,0
7,7Nb,0,0Cr,0.433013,-0.25,-0.25,-0.25,0
7,7Nb,1,1Nb,0.866025,-0.5,-0.5,-0.5,0
7,7Nb,2,2Nb,0.707107,-0.5,0.0,-0.5,0
7,7Nb,3,3Nb,0.5,0.0,0.0,-0.5,0
7,7Nb,4,4Nb,0.707107,0.0,-0.5,-0.5,0
7,7Nb,5,5Nb,0.707107,-0.5,-0.5,0.0,0
7,7Nb,6,6Nb,0.5,-0.5,0.0,0.0,0
7,7Nb,8,8Nb,0.5,0.0,-0.5,0.0,0
7,7Nb,9,9Hf,0.829156,-0.25,-0.25,-0.75,0
7,7Nb,10,10Nb,0.829156,-0.25,-0.75,-0.25,0
7,7Nb,11,11Nb,0.829156,-0.75,-0.25,-0.25,0
7,7Nb,12,12Nb,0.433013,-0.25,0.25,-0.25,0
7,7Nb,13,13Nb,0.433013,0.25,-0.25,-0.25,0
7,7Nb,14,14Nb,0.433013,-0.25,-0.25,0.25,0
8,8Nb,0,0Cr,0.433013,-0.25,0.25,-0.25,0
8,8Nb,1,1Nb,0.707107,-0.5,0.0,-0.5,0
8,8Nb,2,2Nb,0.866025,-0.5,0.5,-0.5,0
8,8Nb,3,3Nb,0.707107,0.0,0.5,-0.5,0
8,8Nb,4,4Nb,0.5,0.0,0.0,-0.5,0
8,8Nb,5,5Nb,0.5,-0.5,0.0,0.0,0
8,8Nb,6,6Nb,0.707107,-0.5,0.5,0.0,0
8,8Nb,7,7Nb,0.5,0.0,0.5,0.0,0
8,8Nb,9,9Hf,0.829156,-0.25,0.25,-0.75,0
8,8Nb,10,10Nb,0.433013,-0.25,-0.25,-0.25,0
8,8Nb,11,11Nb,0.829156,-0.75,0.25,-0.25,0
8,8Nb,12,12Nb,0.829156,-0.25,0.75,-0.25,0
8,8Nb,13,13Nb,0.433013,0.25,0.25,-0.25,0
8,8Nb,14,14Nb,0.433013,-0.25,0.25,0.25,0
9,9Hf,0,0Cr,0.5,0.0,0.0,0.5,1
9,9Hf,1,1Nb,0.433013,-0.25,-0.25,0.25,1
9,9Hf,2,2Nb,0.433013,-0.25,0.25,0.25,1
9,9Hf,3,3Nb,0.433013,0.25,0.25,0.25,1
9,9Hf,4,4Nb,0.433013,0.25,-0.25,0.25,1
9,9Hf,5,5Nb,0.829156,-0.25,-0.25,0.75,1
9,9Hf,6,6Nb,0.829156,-0.25,0.25,0.75,1
9,9Hf,7,7Nb,0.829156,0.25,0.25,0.75,1
9,9Hf,8,8Nb,0.829156,0.25,-0.25,0.75,1
9,9Hf,10,10Nb,0.707107,0.0,-0.5,0.5,1
9,9Hf,11,11Nb,0.707107,-0.5,0.0,0.5,1
9,9Hf,12,12Nb,0.707107,0.0,0.5,0.5,1
9,9Hf,13,13Nb,0.707107,0.5,0.0,0.5,1
9,9Hf,14,14Nb,1.0,0.0,0.0,1.0,1
10,10Nb,0,0Cr,0.5,0.0,0.5,0.0,0
10,10Nb,1,1Nb,0.433013,-0.25,0.25,-0.25,0
10,10Nb,2,2Nb,0.829156,-0.25,0.75,-0.25,0
